IP,frequency,active
72.237.4.0/24,23,"['72.237.4.90', '72.237.4.243', '72.237.4.106', '72.237.4.113', '72.237.4.121', '72.237.4.103', '72.237.4.242', '72.237.4.20', '72.237.4.192', '72.237.4.8', '72.237.4.216', '72.237.4.119', '72.237.4.252', '72.237.4.102', '72.237.4.100', '72.237.4.58', '72.237.4.24', '72.237.4.96']"
4.26.24.0/24,6,['4.26.24.234']
52.45.51.0/24,1,['52.45.51.21']
69.196.251.0/24,1,['69.196.251.99']
23.22.24.0/24,1,['23.22.24.77']
34.199.227.0/24,1,['34.199.227.145']
34.232.114.0/24,1,['34.232.114.20']
34.238.217.0/24,1,['34.238.217.124']
52.5.6.0/24,1,['52.5.6.228']
54.158.192.0/24,1,['54.158.192.249']
